person_id	surface	reading	reading_source	source_url	org	org_source_url	status	added	note
zeta-k4sen	k4sen	かせん	self_channel_title	https://www.youtube.com/channel/UChUjERVG8eKEAJSCef-tTmg	ZETA DIVISION	https://zetadivision.com/members	active	2026-09-07	チャンネル表示名・ZETA DIVISION members ページとも表記は小文字 k4sen。
nijisanji-kuzuha	葛葉	くずは	org_kana	https://www.nijisanji.jp/talents/l/kuzuha	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-kenmochitoya	剣持刀也	けんもちとうや	org_kana	https://www.nijisanji.jp/talents/l/toya-kenmochi	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-higuchikaede	樋口楓	ひぐちかえで	org_kana	https://www.nijisanji.jp/talents/l/kaede-higuchi	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
hololive-tokinosora	ときのそら	ときのそら	kana_surface	https://hololive.hololivepro.com/talents/	hololive	https://hololive.hololivepro.com/talents/	active	2026-09-07	表記自体がひらがな。
hololive-shirakamifubuki	白上フブキ	しらかみふぶき	wikipedia	https://ja.wikipedia.org/wiki/白上フブキ	hololive	https://hololive.hololivepro.com/talents/	active	2026-09-07	Wikipedia 記事本文の読み（出典脚注あり）。
hololive-usadapekora	兎田ぺこら	うさだぺこら	wikidata	https://www.wikidata.org/wiki/Q89771228	hololive	https://hololive.hololivepro.com/talents/	active	2026-09-07	Wikidata の「かな表記」（P1814）。
hololive-houshoumarine	宝鐘マリン	ほうしょうまりん	wikipedia	https://ja.wikipedia.org/wiki/宝鐘マリン	hololive	https://hololive.hololivepro.com/talents/	active	2026-09-07	Wikipedia 記事本文の読み（出典脚注あり）。
hololive-hoshimachisuisei	星街すいせい	ほしまちすいせい	wikidata	https://www.wikidata.org/wiki/Q86731266	hololive	https://hololive.hololivepro.com/talents/	active	2026-09-07	Wikidata の「かな表記」（P1814）。
voms-hikasatomoshika	緋笠トモシカ	ひかさともしか	org_romaji	https://voms.net/	VOMS project	https://voms.net/	active	2026-09-07	公式サイトのローマ字表記から確定。
nijisanji-hyakumantenbarasalome	壱百満天原サロメ	ひゃくまんてんばらさろめ	org_kana	https://www.nijisanji.jp/talents/l/salome-hyakumantenbara	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-kanae	叶	かなえ	org_kana	https://www.nijisanji.jp/talents/l/kanae	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-tsukinomito	月ノ美兎	つきのみと	org_kana	https://www.nijisanji.jp/talents/l/mito-tsukino	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-voxakuma	ヴォックス・アクマ	ゔぉっくすあくま	org_kana	https://www.nijisanji.jp/talents/l/vox-akuma	NIJISANJI EN	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-hoshikawasara	星川サラ	ほしかわさら	org_kana	https://www.nijisanji.jp/talents/l/sara-hoshikawa	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-fuwaminato	不破湊	ふわみなと	org_kana	https://www.nijisanji.jp/talents/l/minato-fuwa	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-laureniroas	ローレン・イロアス	ろーれんいろあす	org_kana	https://www.nijisanji.jp/talents/l/lauren-iroas	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-lucakaneshiro	ルカ・カネシロ	るかかねしろ	org_kana	https://www.nijisanji.jp/talents/l/luca-kaneshiro	NIJISANJI EN	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
nijisanji-angekatrina	アンジュ・カトリーナ	あんじゅかとりーな	org_kana	https://www.nijisanji.jp/talents/l/ange-katrina	にじさんじ	https://www.nijisanji.jp/talents	active	2026-09-07	公式個別ページのふりがな。
